,Naive Bayes,SVM,Random Forest,Logistic Regression,BERT
NLTK,0.9669540229885057,0.9734195402298851,0.9727011494252874,0.9525862068965517,0.9622980251346499
SpaCy,0.9640804597701149,0.9719827586206896,0.9705459770114943,0.9540229885057471,0.9605026929982047
Stemmed,0.9655172413793104,0.9727011494252874,0.9719827586206896,0.9568965517241379,0.9605026929982047
Processed,0.9676724137931034,0.9734195402298851,0.9741379310344828,0.9533045977011494,0.9622980251346499
ProcessedTextBlob,0.9676724137931034,0.9734195402298851,0.9705459770114943,0.9533045977011494,0.9622980251346499
Original,0.9676724137931034,0.9791666666666666,0.9755747126436781,0.9633620689655172,0.9874326750448833
